,Comments_lem
18568,bonjour voulais faire parvenir experience d achat vente privée veepee commande passée debut decembre montant livraison sans cesse reportée laissent sans nouvelles retard livraison depuis fevrier toujours ete livrée commande du coup demande remboursement reponse bref si commandez site preparez a etre livré perdre temp fou demandant sans cesse remboursement n obtiendrez jamais final perte temp perte d argent
18569,j ai commandé sac promo disant marque victor hugo coute a base eur c est loin d d être vrai car l ai reçu plastique alors vrai reçoit pochette tissu emballé soigneusement c est ca sac fabriqué chine a couté moins euro vendu a euro c est inadmissible cette politique d arnaque prennent fait
18570,bonjour acheté meuble minar qualité bonne état lamentable déjà monté moitié angle droit porte frotte a peinture manque certains endroits car a choc vais chercher manifester internet auprès million consommateurs avertir client manque qualité fuyez livraison a facturée alors bonnes affaire ira ailleurs
18571,colis arrivé article moins l autre correspond l article commandé doi battre obtenir remboursement l article non reçu a toujours remboursé d ailleurs renvois l article n est conforme reçois mail disant motif retour n est valide c est vente privée trompe c est client paie vente privée prend client pigeon c est inadmissible acheter chez vente privée c est l assurance d être arnaqué a fuir
18572,service après vente nul a reçu matin machine payée explosee carton coup tout suite appeler service client dit a responsable va rappeler appeler fois toujours app responsable car celui ci doit commissionner transporteur i vienne récupérer colis h posé journée rtt bloquée chez depuis h matin attends tout monde fiche chez vente privee raquette client fiche après si commande honorée non service inexistant chez vente privée
18573,évitez vente privée voyage fait arrive problème étranger voyagiste moque complètement répondent prendre contact agence voyage sun trade travel redressement judiciaire donc raconte soucis hôtel transfert conseil réfléchissez deux fois avant partir
18574,prix référence gonflérabais important prix restant supérieur fait ailleurs webproduit chinois ba gamme déguisé produit luxea fuir
18575,soucis faire venir faire repartir c est autre chose ça n allait produit l ai renvoyé temp n est jamais arrivé l ai récupéré appelé fois savent jamais doi toujours patient rappeler jours après temp d autres personnes voient dossier bla bla blaça fait bientôt an remboursement peux m asseoir dessus
18576,ventes privées plus effet marque concernées également solde moment dite vente privée mauvaise suprise découvrir site marque livraison retour gratuit ca venteprivee com comme savez produits rarement conforme commande retour presque indispensable faut nouveau payer bien sûr faire argent client fournisseur prime tout gagné jusqu quand perde beaucoup fidèle cela faisait longtemps commandé retournerai apparemment loin être seule
18577,site vente faux prix etait epinglé a sujet sav serieux tout
18578,malgré produits a priori l air intéressant moins cher qu ailleurs commanderai sans doute plus chez délais toujours très longs produits présentent plus plus gros défauts plus partie article presque systématiquement manquante vente privée cache derrière phrase rupture chez fournisseur or exemple lorsque l on achète draps drap housse housse couette tay faire parure complète qu on livre moitié retrouve frais article non utilisables bien sûr manière dédommager sous forme bons d achat utiliser lors d une prochaine commande chez gagnants final client s engagent pseudo dédommagement rapporte encore
18579,relation client catastrophique clairement priorité subis vol suite dysfonctionnement partenariat service client aucun rappel réponses risiblement incohérentes service client bref site a loupé coche bye bye dinosaure vente ligne
18580,attention si demandez retrait ancien appareil ménager achetant nouveau c est tout simplement arnaque escroquerie alors qu il a supplément prix assurer recyclage retrait appareil j ai livrée livreur a dit qu il n était prévu reprise depuis service client ballade fait barrage passer aucun responsable ancienne machine laver toujours plein milieu cuisine courrier recommandé ar service réclamations toujours sans réponse alors fuyez escrocs plusieurs raisons respectent leurs engagement envers l environnement plus prix souvent plus élevé qu ailleurs quant n ai dit dernier mot l obligation respecter l article r code l environnement l arrêté d octobre a fuire
18581,prix souvent aussi chère qu en direct voir parfois plus chèresinon dernière commande j ai reçu moitié sans être remboursé recommande plus site marchand
18582,gros problème c est ventes proposés très souvent vraiment vrais bons plan arrive pouvez trouver moins cher ailleurs
18583,commandant depuis maintenant plusieurs années vente privée aucun soucis commande jusqu a aujourd hui passe commandes mois chez peu près ayant erreur produits commande contacté sav autre bout personne l ecoute s est excuse beaucoup fois a dédommager bon achat bon achat a dispo compte directement après avoir raccroché absolument rien dire adore vente privée continuerai commander dessus malgré cette petite erreur
18584,attention a vente privee voyage escros recommande pastres mauvaise experience
18585,dommage pouvoir mettre zéro article commandé non livré c est déjà désagréable d autant vente privée n informe l absence livraison donc si oublie l affaire c est tout bénef depuis message plus tard remboursement n est toujours effectué viens d ouvrir litige paypal j arrête définitivement commander si souhaitez faire conseil paypal
